,symbol,companyid
437,AVAH-USD-STK,575366670
438,AVAN-USD-STK,688639221
439,AVAV-USD-STK,1674636
440,AVB-USD-STK,329141
441,AVD-USD-STK,250532
442,AVDE-USD-STK,626032723
443,AVDV-USD-STK,626032729
444,AVDX-USD-STK,468304
445,AVEM-USD-STK,626032720
446,AVEO-USD-STK,1906420
447,AVGO-USD-STK,25016048
448,AVID-USD-STK,25334
449,AVIG-USD-STK,672728124
450,AVIR-USD-STK,252824153
451,AVK-USD-STK,4645604
452,AVLR-USD-STK,13626992
453,AVLV-USD-STK,1671654293
454,AVNS-USD-STK,251719973
455,AVNT-USD-STK,203002
456,AVNW-USD-STK,30028982
457,AVO-USD-STK,153986005
458,AVPT-USD-STK,30118868
459,AVRE-USD-STK,1671654308
460,AVRO-USD-STK,326042490
461,AVT-USD-STK,253018
462,AVTA-USD-STK,92578
463,AVTE-USD-STK,650355034
464,AVTR-USD-STK,403055588
465,AVTX-USD-STK,145313032
466,AVUS-USD-STK,626032740
467,AVUV-USD-STK,638544573
468,AVXL-USD-STK,13580387
469,AVY-USD-STK,252978
470,AVYA-USD-STK,224812364
471,AWAY-USD-STK,642145804
472,AWF-USD-STK,3590688
473,AWH-USD-STK,26503
474,AWI-USD-STK,3023697
475,AWK-USD-STK,250885
476,AWP-USD-STK,32695076
477,AWR-USD-STK,304353
478,AX-USD-STK,13314302
479,AXDX-USD-STK,363801
480,AXGN-USD-STK,20946777
481,AXL-USD-STK,24704
482,AXNX-USD-STK,260926796
483,AXON-USD-STK,885779
484,AXP-USD-STK,92001
485,AXS-USD-STK,4793955
486,AXSM-USD-STK,241907563
487,AXTA-USD-STK,216313883
488,AXTI-USD-STK,383981
489,AY-USD-STK,261316081
490,AYI-USD-STK,1413208
491,AYX-USD-STK,8548197
492,AZEK-USD-STK,27194630
493,AZO-USD-STK,25307
494,AZPN-USD-STK,1764045729
495,AZRE-USD-STK,50915695
496,AZTA-USD-STK,336648
497,AZZ-USD-STK,252588
498,B-USD-STK,254193
499,BA-USD-STK,370857
500,BAB-USD-STK,100304318
501,BAC-USD-STK,19049
502,BACA-USD-STK,1677612506
503,BAER-USD-STK,1764709148
504,BAH-USD-STK,160233
505,BALL-USD-STK,170352
506,BALT-USD-STK,1672629009
507,BALY-USD-STK,100849045
508,BAMR-USD-STK,710011876
509,BANC-USD-STK,2674024
510,BAND-USD-STK,1054561
511,BANF-USD-STK,19033
512,BANR-USD-STK,341456
513,BAP-USD-STK,396812
514,BAR-USD-STK,529504035
515,BARK-USD-STK,145722736
516,BASE-USD-STK,99803114
517,BATRK-USD-STK,331717750
518,BAX-USD-STK,254571
519,BBAG-USD-STK,583554775
520,BBAI-USD-STK,717472454
521,BBAX-USD-STK,557268611
522,BBBY-USD-STK,321778
523,BBCA-USD-STK,557268612
524,BBCP-USD-STK,580517200
525,BBDC-USD-STK,4149997
526,BBEU-USD-STK,557040352
527,BBH-USD-STK,3588503
528,BBHY-USD-STK,331854706
529,BBIG-USD-STK,554780056
530,BBIN-USD-STK,638372821
531,BBIO-USD-STK,412911458
532,BBJP-USD-STK,557268613
533,BBLN-USD-STK,310480426
534,BBMC-USD-STK,652021694
535,BBN-USD-STK,107573468
536,BBRE-USD-STK,556901228
537,BBSC-USD-STK,672712438
538,BBSI-USD-STK,328132
539,BBUC-USD-STK,1675953525
540,BBUS-USD-STK,594522828
541,BBW-USD-STK,122203
542,BBWI-USD-STK,285544
543,BBY-USD-STK,255397
544,BC-USD-STK,171649
545,BCAB-USD-STK,105291463
546,BCAT-USD-STK,665067132
547,BCBP-USD-STK,3103321
548,BCC-USD-STK,26014489
549,BCD-USD-STK,419196539
550,BCE-USD-STK,170260
551,BCEI-USD-STK,117973925
552,BCEL-USD-STK,141813615
553,BCHG-USD-STK,597913620
554,BCI-USD-STK,418944636
555,BCML-USD-STK,11130977
556,BCO-USD-STK,413156
557,BCOR-USD-STK,92578
558,BCOV-USD-STK,20745491
559,BCPC-USD-STK,253076
560,BCRX-USD-STK,25594
561,BCSF-USD-STK,314042517
562,BCX-USD-STK,116574943
563,BDC-USD-STK,200199
564,BDJ-USD-STK,23004366
565,BDN-USD-STK,285663
566,BDSI-USD-STK,1541596
567,BDSX-USD-STK,36508169
568,BDTX-USD-STK,424913244
569,BDX-USD-STK,103678
570,BE-USD-STK,28543927
571,BEAM-USD-STK,564610577
572,BECN-USD-STK,1543637
573,BEEM-USD-STK,34792193
574,BEN-USD-STK,28703
575,BERY-USD-STK,141108755
576,BETZ-USD-STK,664268794
577,BF B-USD-STK,256839
578,BFAM-USD-STK,25777
579,BFC-USD-STK,3698131
580,BFH-USD-STK,24604
581,BFK-USD-STK,3601883
582,BFLY-USD-STK,275830634
583,BFS-USD-STK,327815
584,BFST-USD-STK,45842867
585,BFZ-USD-STK,3601884
586,BG-USD-STK,687261
587,BGB-USD-STK,183920569
588,BGCP-USD-STK,93136
589,BGFV-USD-STK,2388578
590,BGH-USD-STK,223317746
591,BGR-USD-STK,12247087
592,BGRN-USD-STK,579349187
593,BGRY-USD-STK,555458579
594,BGS-USD-STK,6631173
595,BGT-USD-STK,9763143
596,BGXX-USD-STK,1765406333
597,BGY-USD-STK,33306177
598,BHC-USD-STK,345779
599,BHE-USD-STK,255180
600,BHF-USD-STK,379475737
601,BHG-USD-STK,535039420
602,BHIL-USD-STK,225801369
603,BHK-USD-STK,3197341
604,BHLB-USD-STK,416800
605,BHR-USD-STK,241785161
606,BHVN-USD-STK,1796230042
607,BIBL-USD-STK,533851359
608,BIF-USD-STK,1540573
609,BIG-USD-STK,26949
610,BIGC-USD-STK,676858391
611,BIGZ-USD-STK,699353795
612,BIIB-USD-STK,29726
613,BIL-USD-STK,34697630
614,BILL-USD-STK,37326955
615,BILS-USD-STK,683063742
616,BIO-USD-STK,255743
617,BIOT-USD-STK,690176337
618,BIOX-USD-STK,590728194
619,BIPC-USD-STK,132234994
620,BIRD-USD-STK,325985484
621,BIT-USD-STK,224802341
622,BITO-USD-STK,1679448790
623,BITW-USD-STK,665919792
624,BIV-USD-STK,33837464
625,BIVI-USD-STK,242387715
626,BIZD-USD-STK,223315022
627,BJ-USD-STK,249793891
628,BJRI-USD-STK,374469
629,BK-USD-STK,135506
630,BKAG-USD-STK,639336260
631,BKCC-USD-STK,9732253
632,BKD-USD-STK,23500974
633,BKE-USD-STK,318463
634,BKH-USD-STK,255902
635,BKHY-USD-STK,639336262
636,BKI-USD-STK,302280300
637,BKKT-USD-STK,596916833
638,BKLC-USD-STK,639336255
639,BKLN-USD-STK,127855785
640,BKMC-USD-STK,639336256
641,BKNG-USD-STK,33254
642,BKR-USD-STK,425005479
643,BKSY-USD-STK,336308405
644,BKT-USD-STK,255825
645,BKU-USD-STK,59505020
646,BL-USD-STK,46422711
647,BLBD-USD-STK,272634010
648,BLCO-USD-STK,1678122959
649,BLD-USD-STK,273640140
650,BLDE-USD-STK,376809349
651,BLDR-USD-STK,34817
652,BLE-USD-STK,3605739
653,BLEU-USD-STK,1671513382
654,BLFS-USD-STK,265126
655,BLFY-USD-STK,671921
656,BLI-USD-STK,296460837
657,BLK-USD-STK,403413
658,BLKB-USD-STK,97706
659,BLL-USD-STK,170352
660,BLMN-USD-STK,128530849
661,BLND-USD-STK,252789627
662,BLNK-USD-STK,83115902
663,BLOK-USD-STK,546006073
664,BLTS-USD-STK,698853137
665,BLUE-USD-STK,28921
